ID;Item Number;Suffix 1;Suffix 2;ItemNo;Device Type;Manufacturer;Delimiter;Part Number;Major Functions;Horizontal/Vertical;Rack/Panel;RU;Zones of Protection;Power Supply Voltage;Control Voltage;AC/DC Control Voltage;AC Current Input;AC Voltage Input;Standard Inputs 1;Standard Input Type 1;Standard Inputs 2;Standard Input Type 2;Standard Outputs 1;Standard Output Type 1;Standard Outputs 2;Standard Output Type 2;Additional Board 1;Board 1 Additional Inputs 1;Board 1 Additional Input Type 1;Board 1 Additional Inputs 2;Board 1 Additional Input Type 2;Board 1 Additional Outputs 1;Board 1 Additional Output Type 1;Board 1 Additional Outputs 2;Board 1 Additional Output Type 2;Additional Board 2;Board 2 Additional Inputs 1;Board 2 Additional Input Type 1;Board 2 Additional Inputs 2;Board 2 Additional Input Type 2;Board 2 Additional Outputs 1;Board 2 Additional Output Type 1;Board 2 Additional Outputs 2;Board 2 Additional Output Type 2;Additional Board 3;Board 3 Additional Inputs 1;Board 3 Additional Input Type 1;Board 3 Additional Inputs 2;Board 3 Additional Input Type 2;Board 3 Additional Outputs 1;Board 3 Additional Output Type 1;Board 3 Additional Outputs 2;Board 3 Additional Output Type 2;User Interface;Communications;Coil Operation Voltage;AC/DC Coil Operation Voltage;Handle Style;Spring Return/Maintain;Qty of Decks;Meter Form;Number of Phases;Number of Wires;Test Switch Arrangement;Test Switch Arrangement A;Test Switch Arrangement B;Test Switch Arrangement C;Test Switch Cover;Lamp Voltage;AC/DC Lamp Voltage;Lamp color;Lens color;Catalog cut included;Length;Length Unit;Comm Int Type 1;Comm Int Qty 1;Comm Int Type 2;Comm Int Qty 2;Comm Int Type 3;Comm Int Qty 3;Comm Int Type 4;Comm Int Qty 4;Comm Int Type 5;Comm Int Qty 5;Comm Int Type 6;Comm Int Qty 6;Comm Int Type 7;Comm Int Qty 7;Comm Int Type 8;Comm Int Qty 8;Reset;Common Material;Need to add to ACADE Cat;Need to add Footprint for ACADE;Inventory Quantity;Inventory Location;Photo on file;Itemize Price;Short Name;Status;StatusReason;WnSingleAll;WnSingleTerm;Wn2Wire;Wn3Wire;WnAWGRec;WnAWGRecAll;WnAWGRecTerms;WnTSPAll;WnTSPTerms;WnTerm;WnTermBlank;WnJumperItem;WnJumperUse;WnGround;WnOther
43;110;;;110;Miscellaneous;Mersen;;20318;3-pole fuse block, 250V, 30A, screw terminals, spring reinforced clips for Class H non-renewable fuses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
44;150;;;150;Miscellaneous;;;;Duplex receptacle, 20A, metal face plate, flush mount, not GFCI, in metal outlet box;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
45;150;A;;150A;Miscellaneous;;;;4-plex receptacle, 20A, metal face plates, in metal box, not GFCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
46;102;;;102;Panel Material;;;;Ground bus, 1' x 1/4' copper, horizontally at bottom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
47;132;;;132;Miscellaneous;Hoffman;;AFLT66;Louver plate kit filter, with hardware, filter brackets, and filter, 6.72' x 6.25';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
48;132;A;;132A;Miscellaneous;Hoffman;;AVK66SS6;Louver plate kit, stainless steel, with hardware, 7.5' x 7.88';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
49;136;;;136;Miscellaneous;Hoffman;;ATEMHUM;Hygrotherm, 50-90% RH, 32-140�F, 10A contacts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;1;;0;0;14 or smaller;1;;0;;No;0;;;;
50;136;A;;136A;Panel Material;;;;DIN rail (35mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
51;131;C;;131C;Miscellaneous;Hoffman;;ATEMNO;Thermostat, adjustable set point range 30-140�F, normally open contact (closed in rise), for cooling fan, with mounting hardware;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;OBSOLETE;Replace with Item 131D, ATEMNOF.;1;;0;0;14 or smaller;1;;0;;;0;;;;
52;137;;;137;Miscellaneous;Hoffman;;ADLTEMP;Temperature alarm device, dual thermostat, Fahrenheit scale, 32-140�F setting range, 1 NO / 1 NC contacts, DIN rail mount;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;1;;0;0;14 or smaller;1;;0;;No;0;;;;
53;135;A;;135A;Miscellaneous;Hoffman;;LEDA1S35;LED light kit, 90-260V AC, On/Off switch, screw mount;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;OBSOLETE;Replace with item 135G, CEL500, CELCN1;1;;0;0;;0;;0;;;0;;;;This is ordered with a cord, so it's best to keep the two connections going to the same area.
54;135;;;135;Miscellaneous;;;;Door activated light switch, 120V AC, with mounting;;;;;;;;;;;;;;;;;;;;;;56;40;;;40;Test Switch;ABB;Type FT-19R;FRXG 073 202 001;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C-C,C-C,C-C,C-C,C-C;C-C,P,P,P,P,P,P,P,P;P,P,P,P,P,P,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
57;41;;;41;Test Switch;ABB;Type FT-19R;FRXG 083 001 001;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C-C,C-C,C-C,C-C,P,P;P,P,P,P,P,P,P,P,P,P;P,P,P,P,P,P,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
58;42;;;42;Test Switch;ABB;Type FT-1;129A528G01;Test switch, 10-pole;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P,C-C,P,C-C,P,C-C,P;;;;Black;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
59;44;;;44;Test Switch;ABB;Type FT-19R;FRXG 001 001 001;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P,P,P,P,P,P,P,P,P,P;P,P,P,P,P,P,P,P,P,P;P,P,P,P,P,P,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
60;45;;;45;Test Switch;ABB;Type FT-19R;FRXG 171 171 001;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C-C,C-C,C-C,P,P,P,P;C-C,C-C,C-C,P,P,P,P;P,P,P,P,P,P,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
61;49;;;49;Test Switch;ABB;Type FT-1;129A501G01;Test switch, 10-pole;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P,P,P,P,P,P,P,P,P,P;;;;Black;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
62;161;A;;161A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
63;162;;;162;Panel Material;;;;Blank plate with returns;;Rack;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
64;163;;;163;Panel Material;;;;Blank plate with returns;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
65;164;;;164;Panel Material;;;;Blank plate with returns;;Rack;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
66;165;;;165;Panel Material;;;;Blank plate with returns;;Rack;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
67;166;;;166;Panel Material;;;;Blank plate with returns;;Rack;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
68;167;;;167;Panel Material;;;;Blank plate with returns;;Rack;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
69;168;;;168;Panel Material;;;;Blank plate with returns;;Rack;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
70;169;;;169;Panel Material;;;;Blank plate with returns;;Rack;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
71;170;;;170;Panel Material;;;;Blank plate with returns;;Rack;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
72;162;A;;162A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
74;163;A;;163A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
75;164;A;;164A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
76;165;A;;165A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
77;166;A;;166A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
78;167;A;;167A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
79;168;A;;168A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
80;169;A;;169A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
81;170;A;;170A;Panel Material;;;;Blank plate with returns and cutouts;;Rack;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
82;170;B;;170B;Panel Material;;;;Subpanel;;Rack;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
83;134;;;134;Miscellaneous;TEMPCO;;EHT00008;Heater, 250W, 120V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
84;131;;;131;Miscellaneous;Hoffman;;ABRKT4;Fan bracket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
85;131;A;;131A;Miscellaneous;Hoffman;;A4AXFN;Axial fan, 4 in., 100CFM, 15W, 115V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;1;;0;0;;0;;0;;;0;;;;This comes with stripped lead wires. The length is not defined, so try to keep the connections nearby.
86;133;;;133;Miscellaneous;Hoffman;;DAH8001B;Heater, 800W, 115V AC, with thermostat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;1;;0;0;14 or smaller;1;;0;;No;0;;;;
87;102;A;;102A;Panel Material;;;;4/0 copper stranded to 1' x 1/4' copper bar connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
88;111;;;111;Miscellaneous;Eaton;Bussman;FRN-R-30;Fuse, 250V, 30A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
89;111;A;;111A;Miscellaneous;Eaton;Bussman;FRN-R-20;Fuse, 250V, 20A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
90;111;B;;111B;Miscellaneous;Eaton;Bussman;FRN-R-10;Fuse, 250V, 10A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
91;111;C;;111C;Miscellaneous;Eaton;Bussman;FRN-R-6;Fuse, 250V, 6A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
92;121;;;121;Panel Material;;;;Removable lifting eye capable of lifting shipping section;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
93;101;;;101;Panel Material;;;;Nameplates, black-on-white-on-black, engraved plastic per schedule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;NOT RECOMMENDED;Use 101B & 101C instead.;0;;0;0;;0;;0;;;0;;;;
94;124;;;124;Panel Material;;;;Hold down clip, hot galvanized steel, 4' x 3' x 1/4', with 11/16' � hole, per drawing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
95;123;;;123;Miscellaneous;Bussman;;FP-2;Fuse puller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
96;105;;;105;Panel Material;Burndy;YAEV, or equivalent;;Terminal, one piece, seamless barrel, tinned copper, boxed ring tongue, sized for the appropriate conductor, insulated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
97;106;;;106;Panel Material;;;;Switchboard wire, tinned #12 AWG, 65-strand, 30 mils of cross-linked polyethylene insulation, Underwriters Lab type SIS, flame resistance VW-1 rating, gray color, 600V, 90�C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
98;107;;;107;Panel Material;;;;Shielded pairs, #16 AWG, for low level signals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;NOT RECOMMENDED;Use item 107B, wire size #18 unless #16 is required;0;;0;0;;0;;0;;;0;;;;
